Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Read Count,Owned Copies
17690,The Trial,Franz Kafka,"Kafka, Franz","Max Brod, Willa Muir, Edwin Muir",,,0,Vintage,Paperback,255,2001,1925,,2024/10/31,to-read,to-read (#8),to-read,0,0
117833,The Master and Margarita,Mikhail Bulgakov,"Bulgakov, Mikhail","Diana Lewis Burgin, Katherine Tiernan O'Connor, Ellendea Proffer, Hans Fronius, Михаил Булгаков",0679760806,9780679760801,0,Vintage International,Paperback,372,1996,1967,,2024/10/31,to-read,to-read (#7),to-read,0,0
164561,Concepts of Modern Mathematics,Ian Stewart,"Stewart, Ian",,0140218491,9780140218497,0,Penguin Books,Paperback,317,1975,1975,,2024/09/16,to-read,to-read (#6),to-read,0,1
17186635,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,,,0,Vintage,Paperback,505,2012,2002,,2024/06/19,"to-read, bought","to-read (#1), bought (#2)",to-read,0,1
18077875,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"McKeown, Greg",,0804137382,9780804137386,0,Crown Currency,Hardcover,260,2014,2011,,2024/09/03,to-read,to-read (#5),to-read,0,0
11786536,How to Win Friends and Influence People,Dale Carnegie,"Carnegie, Dale",,0091906350,9780091906351,0,Vermillion,Paperback,304,2006,1936,2024/08/27,2024/08/24,,,read,1,0
10799,A Farewell to Arms,Ernest Hemingway,"Hemingway, Ernest",,0099910101,9780099910107,0,Arrow Books,Paperback,304,2004,1929,,2024/08/17,to-read,to-read (#4),to-read,0,0
50154546,The Communist Manifesto,Karl Marx,"Marx, Karl",Friedrich Engels,1542019397,9781542019392,0,AmazonClassics,Kindle Edition,50,2019,1848,2024/08/06,2024/08/06,,,read,1,0
4703581,The City & the City,China Miéville,"Miéville, China",,0345497511,9780345497512,0,Del Rey/Ballantine Books,Hardcover,336,2009,2009,,2024/07/18,to-read,to-read (#3),to-read,0,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,,,0,Tor Books,Hardcover,472,2014,2006,,2024/06/23,to-read,to-read (#2),to-read,0,0
